"Date Visited","Agency","Site ID","Service Center","Site Address","Borough","Secret Shopper Language","Interaction with Security Guards","Interaction with Reception Staff","Interaction with Frontline Staff","Does Facility have signs posted notifying clients 
to the right of interpretation services?","Languages in which the facility has translated signs relating to service being provided","Languages in which the facility has translated documents","Method in which interpretation was made available","Time spent waiting for an interpreter after speaking to staff member","Did the Secret Shopper receive the information or service asked for?","Postcode","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract (2020)","Neighborhood Tabulation Area (NTA) (2020)"
"06/01/2022","DOB","DOB-M-09","Licensing Unit","280 Broadway Floor 1","Manhattan","French-Creole",,"2",,"Yes","None","None","Other","5 minutes or less","Yes","10007","40.714417","-74.006089","101","1","1079215","1001530001","31","MN0102"
"06/01/2022","CCHR","CHR-M-03","Human Rights Complaints/NYC Human Rights Community Service Center","22 Reade St Floor 1","Manhattan",,,,,"Yes","Spanish, Chinese","None","Bilingual staff","5-10 minutes","Yes","10007","40.714231","-74.004895","101","1","1078613","1001540023","31","MN0102"
"06/01/2022","DCWP","DCA-M-01","Licensing Unit","42 Broadway Floor 1","Manhattan",,"Excellent",,"Excellent","Yes","At least the 6 designated citywide languages or more","At least the 6 designated citywide languages or more","Bilingual staff","5 minutes or less","Yes","10004","40.70627","-74.012909","101","1","1000812","1000220020","9","MN0101"
"06/01/2022","DCWP","DCA-M-02","Consumer Services","42 Broadway Floor 9","Manhattan",,,,"Excellent","Yes","At least the 6 designated citywide languages or more","None","Bilingual staff","5 minutes or less","Yes","10004","40.70627","-74.012909","101","1","1000812","1000220020","9","MN0101"
"06/01/2022","DEP","DEP-Q-01","BCS Central Office","59-17 Junction Blvd Floor 13","Queens",,,,,"Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff",,"Yes","11373","40.734606","-73.864774","404","21","4047310","4019180001","455","QN0402"
"06/01/2022","DEP","DEP-Q-02","Queens Borough Office","96-05 Horace Harding Exp Ground Floor","Queens","French-Creole",,,,"Yes","None","None","Bilingual staff","5 minutes or less","Yes","11368","40.734383","-73.864309","404","21","4047337","4019180114","455","QN0402"
"06/01/2022","DFTA","DFA-M-02","Senior Employment Services","2 Lafayette St. Floor 6","Manhattan","French-Creole","Good","Good","Good","Yes","None","None","Language Line","10-30 minutes","Yes","10007","40.713723","-74.003586","101","1","1001672","1001550001","31","MN0102"
"06/01/2022","DOB","DOB-M-04","Manhattan Borough Office","280 Broadway Floor 3","Manhattan",,,,,"Yes","None","None","Bilingual staff","5 minutes or less","N/A","10007","40.714417","-74.006089","101","1","1079215","1001530001","31","MN0102"
"06/01/2022","DOE","DOE-M-05","Student Enrollment","160 East 120th Street Room 424","Manhattan",,,,,"Yes","Spanish, Chinese","Spanish","Bilingual staff","5 minutes or less","No","10035","40.801007","-73.939349","111","8","1083501","1017680021","196","MN1102"
"06/01/2022","DOHMH","DOH-B-02","Morrisania Sexual Health Clinic","1309 Fulton Ave. Fl. 2","Bronx","Spanish",,,"Excellent","Yes","At least the 6 designated citywide languages or more","N/A","Bilingual staff","5 minutes or less","Yes","10456","40.832853","-73.903028","203","16","2009620","2029250080","14701","BX0302"
"06/01/2022","DOHMH","DOH-B-04","Bronx Early Intervention Office","1309 Fulton Ave Floor 5","Bronx",,,"Excellent","Fair","Yes","At least the 6 designated citywide languages or more","None","Language Line","5-10 minutes","Yes","10456","40.832853","-73.903028","203","16","2009620","2029250080","14701","BX0302"
"06/01/2022","DOHMH","DOH-K-04","Brooklyn Early Intervention Office","16 Court St. Floor 2","Brooklyn","French-Creole",,,"Fair","No","None","N/A","None","N/A","No","11241","40.693445","-73.990577","302","33","3002108","3002500044","9","BK0201"
"06/01/2022","DOHMH","DOH-M-01","Birth/Death Certificates","125 Worth St. Room 133","Manhattan","French-Creole",,,"Good","Yes","Spanish, Chinese, Korean, Russian","None","Other (Google Translate)","N/A","Yes","10013","40.715428","-74.002673","101","1","1001831","1001680032","31","MN0102"
"06/01/2022","DOHMH","DOH-M-09","Chelsea Health Center (Tuberculosis)","303 9th Ave Floor 3","Manhattan",,,,"Excellent","Yes","At least the 6 designated citywide languages or more","French","Language Line","5 minutes or less","Yes","10001","40.749356","-73.999257","104","3","1012830","1007240082","97","MN0401"
"06/01/2022","DOHMH","DOH-M-14","Manhattan Early Intervention Office","42 Broadway Suite 1611","Manhattan","French-Creole","Excellent",,"Excellent","Yes","Spanish, French, Russian","None","Bilingual staff","5 minutes or less","Yes","10004","40.70627","-74.012909","101","1","1000812","1000220020","9","MN0101"
"06/01/2022","DORIS","DOR-M-01","Municipal Archives","31 Chambers Street","Manhattan",,,,,"Yes",,"Spanish, French, Russian, Chinese","Bilingual staff","5 minutes or less",,"10007","40.713402","-74.004635","101","1","1001670","1001530024","31","MN0102"
"06/01/2022","DORIS","DOR-M-03","Visitor Center","31 Chambers Street","Manhattan",,,,,"Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","10007","40.713402","-74.004635","101","1","1001670","1001530024","31","MN0102"
"06/01/2022","DOT","DOT-Q-02","Parking Permits and Customer Service","30-30 Thomson","Queens",,,,"Excellent","No","None","None","Language Line","5 minutes or less","Yes",,,,,,,,,
"06/01/2022","DOT","DOT-K-01","Brooklyn Permit Office","16 Court St. Floor 15","Brooklyn","Spanish",,,"Good","No","None","N/A","None","N/A","No","11241","40.693445","-73.990577","302","33","3002108","3002500044","9","BK0201"
"06/01/2022","DOT","DOT-M-01","Manhattan Permit office","55 Water St.","Manhattan",,,"Good","Good","Yes","At least the 6 designated citywide languages or more","N/A","Bilingual staff","5 minutes or less","No","10041","40.703608","-74.009691","101","1","1083346","1000327501","9","MN0101"
"06/01/2022","DPR","DPR-Q-15","Lost Battalion Hall Recreation Center","93-29 Queens Blvd.","Queens",,,,,"Yes","One or more languages (specific language not recorded)","None","Bilingual staff",,,"11374","40.73147","-73.866044","406","24","4050408","4020770050","71702","QN0601"
"06/01/2022","DPR","DPR-M-15","Gertrude Ederle Recreation Center","533 W 59th St.","Manhattan","French-Creole",,"3",,"No","None","None","Other (Google Translate)","N/A","Yes","10019","40.770866","-73.98866","107","6","1086545","1011510015","147","MN0701"
"06/01/2022","DPR","DPR-K-08","Sunset Park Recreation Center","7th Ave. at 43rd St.","Brooklyn","French-Creole",,,"Excellent","Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Language Line","5-10 minutes","Yes",,,,,,,,,
"06/01/2022","DPR","DPR-K-02","Red Hook Recreation Center","155 Bay St.","Brooklyn",,,,"Fair","No","None","None","Bilingual staff","5-10 minutes","Yes","11231","40.671937","-74.003515","306","38","3008670","3005820001","5302","BK0601"
"06/01/2022","DPR","DPR-K-20","McCarren Park Recreation Center","776 Lorimer St.","Brooklyn","Spanish",,,,"Yes","None","None","Told to find a bilingual person in waiting area","5 minutes or less","Yes","11222","40.720182","-73.950375","301","33","3067525","3026960001","515","BK0102"
"06/01/2022","DPR","DPR-K-04","Metropolitan Pool & Fitness Center","261 Bedford Ave.","Brooklyn",,,,"Good","Yes","None","None","Bilingual staff","5 minutes or less","Yes","11211","40.715045","-73.960702","301","34","3062457","3023660004","553","BK0102"
"06/01/2022","DPR","DPR-Q-08","Sorrentino Recreation Center","18-48 Cornaga Ave.","Queens",,,,"Excellent","Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","11691","40.602306","-73.751029","414","31","4298254","4155600050","101003","QN1401"
"06/01/2022","DPR","DPR-Q-04","AI Oerter Recreation Center","131-40 Fowler Ave.","Queens",,,,"Excellent","Yes","One or more languages (specific language not recorded)","None","Bilingual staff","5 minutes or less","Yes","11355","40.751616","-73.834155","407","20","4540092","4020180001","38302","QN8191"
"06/01/2022","DPR","DPR-Q-16","Flushing Meadows Corona Park Aquatic Center","Avery Ave. and 131 St.","Queens",,,,"Excellent","Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes",,,,,,,,,
"06/01/2022","DPR","DPR-B-13","Hunts Point Recreation Center","765 Manida St.","Bronx","Spanish",,,"Good","Yes","Spanish, Chinese, French","Spanish, French, Chinese","Bilingual staff","5 minutes or less","Yes","10474","40.815865","-73.888768","202","17","2109472","2027630001","9301","BX0201"
"06/01/2022","FDNY","FDN-K-02","Certificate of Fitness Testing Unit","9 Metrotech Center Fl. 1","Brooklyn","Spanish",,,"Excellent","No","None","N/A","Bilingual staff","5 minutes or less","Yes","11201","40.69486","-73.984674","302","33","3058187","3020470011","1502","BK0202"
"06/01/2022","FDNY","FDN-K-03","Public Records","9 Metrotech Center Fl. 1","Brooklyn","French-Creole",,,"Excellent","No","None","N/A","Bilingual staff","5 minutes or less","Yes","11201","40.69486","-73.984674","302","33","3058187","3020470011","1502","BK0202"
"06/01/2022","HRA","HRA-B-12","Fordham Job Center","2541 Bainbridge Ave.","Bronx","French-Creole",,,"Good","Yes","At least the 6 designated citywide languages or more","N/A","Language Line","5-10 minutes","Yes","10458","40.862345","-73.89335","207","15","2016777","2032930008","39901","BX0701"
"06/01/2022","HRA","HRA-B-17","Concourse SNAP","1375 Jerome Ave. Floor 2","Bronx",,,,"Excellent","Yes","None","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","10452","40.839771","-73.918359","204","16","2008289","2028560020","219","BX0403"
"06/01/2022","HRA","HRA-B-20","Office of Child Support Bronx Family Court","900 Sheridan Ave.","Bronx",,"Excellent",,"Excellent","Yes","One or more languages (specific language not recorded)","None","Language Line","10-30 minutes","Yes","10451","40.826873","-73.920872","204","16","2002704","2024540001","18302","BX0401"
"06/01/2022","HRA","HRA-B-24","Office of Child Support Enforcement Bronx Borough Office","849 Garrison Ave. Fl. 1","Bronx",,,,"Excellent","Yes","One or more languages (specific language not recorded)","n/a","Bilingual staff","5 minutes or less","Yes","10474","40.816165","-73.892972","202","17",,,"9301","BX0201"
"06/01/2022","HRA","HRA-B-25","Concourse Job Center","1365 Jerome Ave.","Bronx",,"Excellent",,"Excellent","Yes","Spanish, Korean, French","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","10452","40.839604","-73.918421","204","16","2008289","2028560020","219","BX0403"
"06/01/2022","HRA","HRA-K-16","Coney Island Medicaid Office","3050 W 21 St. Floor 3","Brooklyn","French-Creole","Excellent","Excellent","Excellent","Yes","At least the 6 designated citywide languages or more","One or more languages (specific language not recorded)","Language Line","5 minutes or less","Yes","11224","40.57353","-73.987448","313","47","3189654","3070710123","352","BK1302"
"06/01/2022","HRA","HRA-K-18","Coney Island Job Center","3050 W 21 St. Floor 1","Brooklyn","Spanish",,,,"Yes","None","None","Told to find a bilingual person in waiting area","5-10 minutes","Yes","11224","40.57353","-73.987448","313","47","3189654","3070710123","352","BK1302"
"06/01/2022","HRA","HRA-K-25","Office of Child Support Enforcement Brooklyn Borough Office","1 Metrotech Center Fl. 6","Brooklyn","French-Creole",,"2",,"No","None","None","Other (Google Translate)","N/A","Yes","11201","40.693463","-73.987227","302","33","3319418","3001470004","11","BK0202"
"06/01/2022","HRA","HRA-K-39","Brooklyn South Medicaid Office","785 Atlantic Avenue","Brooklyn",,"Good",,"Good","Yes","At least the 6 designated citywide languages or more","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","11238","40.681962","-73.968434","302","35","3335094","3020090001","199","BK0204"
"06/01/2022","HRA","HRA-K-41","Refugee Job Center","32-20 Northern Blvd. Floor 5","Queens","Spanish",,"Excellent","Excellent","Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","11101","40.75197","-73.931799","401","26","4003105","4002147501","17102","QN0161"
"06/01/2022","HRA","HRA-M-06","Chinatown Medicaid Office","115 Chrystie St. Fl. 5","Manhattan",,,,"Excellent","Yes","Chinese","Spanish, Chinese","Bilingual staff","5 minutes or less","Yes","10002","40.718647","-73.993586","103","1","1005645","1004230022","18","MN0302"
"06/01/2022","HRA","HRA-M-16","Metropolitan Hospital Medicaid Office","1901 First Ave.","Manhattan",,,,"Good","Yes","At least the 6 designated citywide languages or more","N/A","Bilingual staff","5 minutes or less","No","10029","40.784557","-73.94378","111","8","1083929","1016690001","15602","MN1101"
"06/01/2022","HRA","HRA-M-20","East End Job Center","2322 Third Ave.","Manhattan","French-Creole","Good","Good","Fair","Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","10035","40.804465","-73.93526","111","8","1054497","1017750033","242","MN1102"
"06/01/2022","HRA","HRA-M-37","Office of Child Support Enforcement","151 West Broadway Fl. 4","Manhattan",,,"2",,"Yes","One or more languages (specific language not recorded)","N/A","Bilingual staff","5 minutes or less","No","10013","40.717242","-74.007853","101","1","1001621","1001480010","33","MN0102"
"06/01/2022","HRA","HRA-M-41","Business Link","123 William St. Fl. 6","Manhattan","Spanish",,,"Excellent","Yes","Spanish, Chinese, Russian","None","Bilingual staff","5 minutes or less","Yes","10038","40.709112","-74.006893","101","1","1079063","1000780004","1502","MN0101"
"06/01/2022","HRA","HRA-Q-13","Office of Child Support Enforcement Queens Borough Office","32-20 Northern Blvd. Floor 6","Queens","Spanish",,"Excellent","Excellent","Yes","One or more languages (specific language not recorded)","One or more languages (specific language not recorded)","Bilingual staff","5 minutes or less","Yes","11101","40.75197","-73.931799","401","26","4003105","4002147501","17102","QN0161"
